id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj;Type_de_logement
2175;91198;D'Huison-Longueville;249100546;91;11;17,52110892;14,90625561;20,59465945;maille;58;652;0,852704323;Appartement
1046;91198;D'Huison-Longueville;249100546;91;11;17,08817676;14,77688025;19,76099014;maille;24;499;0,809717144;Appartement
1168;91198;D'Huison-Longueville;249100546;91;11;13,37232289;10,98997975;16,27109636;maille;16;512;0,838725834;Maison
1807;91198;D'Huison-Longueville;249100546;91;11;13,80269338;11,95004689;15,94256042;maille;34;587;0,695338682;Appartement
1090;91200;Dourdan;249100595;91;11;15,09424798;12,99765222;17,52903664;commune;1733;1827;0,881840462;Appartement
313;91200;Dourdan;249100595;91;11;17,66940287;15,33527287;20,35880291;commune;1123;1412;0,763691436;Appartement
1864;91200;Dourdan;249100595;91;11;13,09201076;10,2914332;16,65470127;commune;270;494;0,817618864;Maison
1006;91200;Dourdan;249100595;91;11;13,72872983;11,73760094;16,05762741;commune;610;746;0,737213936;Appartement
2819;91201;Draveil;200058477;91;11;17,81093634;15,30586114;20,72601145;commune;2629;2629;0,894967967;Appartement
1745;91201;Draveil;200058477;91;11;20,24030817;17,53564952;23,36212722;commune;1871;3565;0,80083385;Appartement
412;91201;Draveil;200058477;91;11;15,57315778;11,99575098;20,21742896;commune;309;1712;0,780928323;Maison
1596;91201;Draveil;200058477;91;11;15,52956433;12,80524584;18,83348209;commune;819;819;0,607840991;Appartement
1325;91204;echarcon;249100546;91;11;15,99353835;14,14187646;18,08764698;commune;146;2879;0,919515922;Appartement
1765;91204;echarcon;249100546;91;11;19,52464615;17,30686954;22,02661818;maille;47;908;0,842543349;Appartement
1301;91204;echarcon;249100546;91;11;14,29254496;11,4384061;17,85885549;maille;17;533;0,835686124;Maison
1697;91204;echarcon;249100546;91;11;14,74355869;13,24434087;16,41248327;maille;95;833;0,788657653;Appartement
